Month,electricity_consumption_GWh,HYDRO,Thermal,WIND,GEOTHERMAL,BAGASSE_BIOGAS,IMPORTS,SOLAR,Total,DC_1_Lifeline_0_30_per_kWh,DC_2_Ordinary_30_100_per_kWh,DC_3_Ordinary_100_15000_per_kWh,Small_Commercial_1_0_30_per_kWh,Small_Commercial_2_30per_kWh_100per_kWh,Small_Commercial_3_100per_kWh_1500per_kWh,SC3_Bulk_Supply_1000per_kWh_1500per_kWh,"Commercial_Industrial_1___415_V_>_15,000_per_kWh","Commercial_Industrial_2___11,000_V","Commercial_Industrial_3___33,000_V","Commercial_Industrial_4___66,000_V","Commercial_Industrial_5___132,000_V","Commercial_Industrial_6___220,000_V",Commercial_Industrial_7_SEZs,E_Mobility,Street_Lighting,Number_of_new_customers,Cummulative_Connections,400 kV Ketraco,220kv Ketraco & KenGen links,132kv Ketraco,220 kV,132 kV,66 kV,33 kV,11 kV,HV_MV_Circuit_km,LV_Circuit_km,TOTAL,Renewable_Generation,Year,Month_num,Renewable_Share_%,Month_Num,Quarter,Is_Rainy_Season,Month_Sin,Month_Cos,Renewable_Share_Pct,Thermal_Share_Pct,Demand_Supply_Gap,Consumption_Lag1,Consumption_Lag3,Consumption_Growth,Rolling_Mean_3M,Rolling_Std_6M,HV_MV_per_Customer,LV_per_Customer,Grid_Capacity_per_Demand,Post_2020_Solar_Initiative,Drought_Period
2020-11-01,758.8888245954195,385.738631824,59.61901500000005,147.84020900000004,396.821581,0.012894,10.431935000000001,7.6154538,1008.0797196239998,15.858823999999998,15.858824000000002,22.762224,15.858824000000002,22.522824,30.7931,30.7931,20.711357333333336,17.579786857142857,17.642075162790697,16.947324000000002,16.281677846153844,18.51099230769231,18.51099230769231,25.7353,12.883823999999997,43735.0,7832883.0,1980.98,454.0,1094.0339999999997,1352.3,2349.916,1187.18,36569.727,41553.0609,86541.1979,168595.1352,255136.3331,938.028769624,2020,11,93.0,11,4,1,-0.5000000000000004,0.8660254037844384,93.05105056313127,5.914117092072553,-249.19089502858037,778.9558754317704,735.6499634999998,-0.025761473106840516,763.3313248955101,22.179114793426674,0.011048447666076463,0.021524020619227938,114.03672724543947,1,0
2020-12-01,750.1472047800003,400.307755816,77.29543100000004,134.9837359999999,392.50185700000003,0.026789,11.66376,7.125361999999998,1023.904690816,16.032478,16.032478,22.934978,16.032478,22.696478,30.7931,30.7931,20.885011333333335,17.75344085714286,17.8157291627907,17.120978,16.455331846153847,18.51099230769231,18.51099230769231,25.7353,13.057477999999998,58857.0,7891990.0,1980.98,454.0,1094.0339999999997,1352.3,2349.916,1187.18,36569.727,41553.0609,86541.1979,168595.1352,255136.3331,934.9454998159999,2020,12,91.0,12,4,0,-2.4492935982947064e-16,1.0,91.31177034367289,7.549084567470778,-273.7574860359997,758.8888245954195,752.1492746593403,-0.011518972914220438,762.6639682690634,17.366989824342024,0.01096570040002585,0.021362816627998767,115.36562070557926,1,0
2021-01-01,792.5629809899992,330.314492904,74.66480299999998,137.65417500000007,464.78319400000004,0.02924,16.43939,7.464010200000001,1031.349305104,16.761324000000002,16.761324000000002,23.663324000000003,16.761324000000002,23.425324,30.7931,30.7931,21.613857333333335,18.482286857142856,18.5445751627907,17.849824,17.184177846153844,18.51099230769231,18.51099230769231,25.7353,13.786324,65048.0,7958518.0,1980.98,454.0,1094.0339999999997,1352.3,2349.916,1187.18,36569.727,41553.0609,86541.1979,168595.1352,255136.3331,940.2451121040001,2021,1,91.0,1,1,0,0.49999999999999994,0.8660254037844387,91.1665046411397,7.239526184823567,-238.78632411400076,750.1472047800003,778.9558754317704,0.056543270360433384,767.1996701218063,20.78899466951632,0.01087403432397841,0.02118423746732746,109.19157212200402,1,0
2021-02-01,740.2106985616701,281.39839891599996,105.47887199999994,109.84029899999992,422.1543389999999,0.043635,20.26096,7.004179,946.1806829159997,16.105185999999996,16.105186,23.007186,16.105186,22.769185999999998,30.7931,30.7931,20.957719333333333,17.826148857142854,17.888437162790698,17.193686,16.528039846153845,18.51099230769231,18.51099230769231,25.7353,13.130186,81107.0,8045307.0,1980.98,454.0,1094.0339999999997,1352.3,2349.916,1187.18,36569.727,41553.0609,86541.1979,168595.1352,255136.3331,820.4408509159998,2021,2,87.0,2,1,0,0.8660254037844386,0.5000000000000001,86.71080119576243,11.147857264949486,-205.96998435432954,792.5629809899992,758.8888245954195,-0.0660544129413353,760.9736281105565,19.715154769779584,0.010756730339811768,0.0209557118454274,116.91427598677146,1,0
2021-03-01,799.7043479200001,305.107,63.0709,199.915,460.68,0.03389,22.6442,7.78414,1059.2351299999998,17.586696,17.586696,24.604696,17.586696,24.362696,30.7931,30.7931,22.522607111111114,19.337061714285714,19.400793674418605,18.694029333333333,18.016880615384615,18.51099230769231,18.51099230769231,25.7353,14.561696,53781.0,8089502.0,1980.98,454.0,1094.0339999999997,1352.3,2349.916,1187.18,36569.727,41553.0609,86541.1979,168595.1352,255136.3331,973.52003,2021,3,92.0,3,1,0,1.0,6.123233995736766e-17,91.90783070044138,5.954381441257524,-259.53078207999965,740.2106985616701,750.1472047800003,0.08037393876356314,777.4926758238898,23.985835287942137,0.01069796359528683,0.020841225479640155,108.21649041310114,1,0
2021-04-01,777.9708754499998,307.92625918000005,59.58860200000007,164.706555,424.53874099999996,0.059895,15.618890000000029,7.412786599999999,979.8517287800001,17.166972,17.166972,24.184972000000002,17.166972,23.942972,30.7931,30.7931,22.10288311111111,18.917337714285715,18.981069674418606,18.27430533333333,17.597156615384616,18.51099230769231,18.51099230769231,25.7353,14.141972,61096.0,8149192.0,1980.98,454.0,1094.0339999999997,1352.3,2349.916,1187.18,36569.727,41553.0609,86541.1979,168595.1352,255136.3331,904.64423678,2021,4,92.0,4,2,1,0.8660254037844387,-0.4999999999999998,92.32460485693689,6.081389688845375,-201.88085333000038,799.7043479200001,792.5629809899992,-0.027176884215433184,772.62864064389,23.916192060022823,0.010619604728910548,0.02068857074419157,111.23963715215199,1,0
2021-05-01,787.9898808150001,369.023589496,116.16375900000006,130.21155000000013,385.37638699999997,0.039146,24.162309999999984,7.5901472000000005,1032.5668886960002,16.742503999999997,16.742504,23.760504,16.742504,23.518504,30.7931,30.7931,21.67841511111111,18.492869714285714,18.556601674418605,17.849837333333333,17.172688615384615,18.51099230769231,18.51099230769231,25.7353,13.717504,66395.0,8216253.0,1980.98,454.0,1094.0339999999997,1352.3,2349.916,1187.18,36569.727,41553.0609,86541.1979,168595.1352,255136.3331,892.240819696,2021,5,86.0,5,2,1,0.49999999999999994,-0.8660254037844387,86.4099778390905,11.249998452565142,-244.5770078810001,777.9708754499998,740.2106985616701,0.012878381030915875,788.5550347283333,24.18243122049543,0.010532927588768263,0.020519710773268543,109.82526553576093,1,0
2021-06-01,798.2468045800015,317.992122134,84.16397299999981,184.6094139999998,408.964064,0.045116,23.52444,7.4199994,1026.7191285339995,17.682252000000002,17.682252000000002,24.700252000000006,17.682252000000002,24.458252,30.7931,30.7931,22.61816311111111,19.432617714285715,19.496349674418607,18.78958533333333,18.112436615384617,18.51099230769231,18.51099230769231,25.7353,14.657252,69711.0,8278203.0,1980.98,454.0,1094.0339999999997,1352.3,2349.916,1187.18,36569.727,41553.0609,86541.1979,168595.1352,255136.3331,919.0307155339999,2021,6,90.0,6,2,0,1.2246467991473532e-16,-1.0,89.51140482268384,8.1973706986616,-228.47232395399806,787.9898808150001,799.7043479200001,0.01301656787063421,788.0691869483338,22.288015929061075,0.010454104338828124,0.020366151349513896,108.41408622428969,1,0
2021-07-01,813.956607786668,285.7937281540001,122.57970600000016,152.69405399999997,463.15713700000003,0.052577,29.10949,13.068488,1066.4551801540001,17.753492,17.753491999999998,24.771492,17.753491999999998,24.529492,30.7931,30.7931,22.689403111111112,19.503857714285715,19.567589674418606,18.86082533333333,18.183676615384616,18.51099230769231,18.51099230769231,25.7353,14.728492,44465.0,8337951.0,2030.98,724.0,1094.0339999999997,1352.3,2349.916,1188.18,38051.0,42971.0,89761.41,200050.0,289811.41000000003,914.7659841540002,2021,7,86.0,7,3,0,-0.4999999999999997,-0.8660254037844388,85.7763177653565,11.494126361906666,-252.49857236733214,798.2468045800015,777.9708754499998,0.019680383456006645,800.0644310605566,25.627061336006385,0.010765403874405116,0.02399270516221551,110.27788108272942,1,0
2021-08-01,825.56118963,274.025654842,109.34242199999987,190.06621100000027,452.79363099999995,0.049931,26.772609999999997,17.026244,1070.076703842,17.861904,17.861904000000003,24.879904,17.861904000000003,24.637904,30.7931,30.7931,22.79781511111111,19.612269714285713,19.676001674418607,18.969237333333336,18.292088615384614,18.51099230769231,18.51099230769231,25.7353,14.836904000000002,29737.0,8357933.0,2030.98,724.0,1094.0339999999997,1352.3,2349.916,1188.18,38051.0,42971.0,89761.41,200050.0,289811.41000000003,933.9616718420003,2021,8,87.0,8,3,0,-0.8660254037844385,-0.5000000000000004,87.27988082430983,10.218185444783275,-244.51551421199997,813.956607786668,787.9898808150001,0.014257003054361173,812.5882006655565,17.19818147987475,0.010739666135155666,0.02393534382244988,108.72774922986541,1,0
