electricity_consumption_GWh,HYDRO,WIND,SOLAR,Thermal,Cummulative_Connections,lag_1,lag_2,lag_3,rolling_mean_3,rolling_mean_6,month,quarter,month_sin,month_cos
748.2366788700001,268.911306152,124.89111300000002,7.093813399999995,133.4035895500001,7140389.0,,,,,,7,3,-0.4999999999999997,-0.8660254037844388
749.91488288,251.48017378799997,151.42539,7.44196240000001,131.76414300000008,7183311.0,748.2366788700001,,,,,8,3,-0.8660254037844385,-0.5000000000000004
740.4895189400002,233.79550912400003,152.90575900000002,7.932895000000003,104.74042399999996,7205121.0,749.91488288,748.2366788700001,,746.2136935633334,,9,3,-1.0,-1.8369701987210297e-16
754.3439396300005,268.3989934399999,137.42272400000004,8.085146199999993,69.47794900000007,7263265.0,740.4895189400002,749.91488288,748.2366788700001,748.2494471500003,,10,4,-0.8660254037844386,0.5000000000000001
763.25530433,299.189625928,114.03445499999998,7.8473985999999964,62.44026987999991,7297028.0,754.3439396300005,740.4895189400002,749.91488288,752.6962543000003,,11,4,-0.5000000000000004,0.8660254037844384
712.0957147899999,360.8781616080001,49.85715800000047,7.605524266666669,62.144775900000006,7322288.0,763.25530433,754.3439396300005,740.4895189400002,743.2316529166668,744.7226732400001,12,4,-2.4492935982947064e-16,1.0
773.9679399099996,357.68808773999996,89.696862,7.6356302000000005,54.45905079999999,7339857.0,712.0957147899999,763.25530433,754.3439396300005,749.7729863433332,749.0112167466667,1,1,0.49999999999999994,0.8660254037844387
741.7248455079207,341.94350830800005,100.15740599999997,6.978441000000006,53.76979900000004,7390432.0,773.9679399099996,712.0957147899999,763.25530433,742.5961667359734,747.6462105179868,2,1,0.8660254037844386,0.5000000000000001
763.7422759641704,359.1139319680001,85.88391900000005,7.839612399999993,55.59510499999994,7446878.0,741.7248455079207,773.9679399099996,712.0957147899999,759.8116871273636,751.5216700220152,3,1,1.0,6.123233995736766e-17
646.5888340475303,297.6319015480001,88.03389100000003,7.7821740000000075,35.67728469999996,7484301.0,763.7422759641704,741.7248455079207,773.9679399099996,717.3519851732071,733.5624857582701,4,2,0.8660254037844387,-0.4999999999999998
661.4267342799994,319.465482028,105.62492999999999,7.929903799999997,56.179973,7516122.0,646.5888340475303,763.7422759641704,741.7248455079207,690.5859480972334,716.5910574166033,5,2,0.49999999999999994,-0.8660254037844387
717.3908600599998,334.165559404,88.4509779999999,6.989835799999997,61.839058000000094,7576145.0,661.4267342799994,646.5888340475303,763.7422759641704,675.1354761291765,717.47358162827,6,2,1.2246467991473532e-16,-1.0
730.3450119740189,357.84385676399995,110.41912299999996,6.809762200000001,60.60444700000001,7674534.0,717.3908600599998,661.4267342799994,646.5888340475303,703.0542021046728,710.20309363894,7,3,-0.4999999999999997,-0.8660254037844388
735.6499634999998,357.68780244400006,118.62019200000002,6.705211599999999,70.47261799999983,7699327.0,730.3450119740189,717.3908600599998,661.4267342799994,727.7952785113395,709.1906133042863,8,3,-0.8660254037844385,-0.5000000000000004
752.1492746593403,355.745063564,139.81561200000002,6.8183256,89.42492300000018,7726188.0,735.6499634999998,730.3450119740189,717.3908600599998,739.3814167111196,707.2584464201482,9,3,-1.0,-1.8369701987210297e-16
778.9558754317704,373.092874292,121.83387400000005,8.1891814,79.48673399999983,7790934.0,752.1492746593403,735.6499634999998,730.3450119740189,755.5850378637036,729.3196199841881,10,4,-0.8660254037844386,0.5000000000000001
758.8888245954195,385.738631824,147.84020900000004,7.6154538,59.61901500000005,7832883.0,778.9558754317704,752.1492746593403,735.6499634999998,763.3313248955101,745.5633017034248,11,4,-0.5000000000000004,0.8660254037844384
750.1472047800003,400.307755816,134.9837359999999,7.125361999999998,77.29543100000004,7891990.0,758.8888245954195,778.9558754317704,752.1492746593403,762.6639682690634,751.0226924900916,12,4,-2.4492935982947064e-16,1.0
792.5629809899992,330.314492904,137.65417500000007,7.464010200000001,74.66480299999998,7958518.0,750.1472047800003,758.8888245954195,778.9558754317704,767.1996701218063,761.3923539927549,1,1,0.49999999999999994,0.8660254037844387
740.2106985616701,281.39839891599996,109.84029899999992,7.004179,105.47887199999994,8045307.0,792.5629809899992,750.1472047800003,758.8888245954195,760.9736281105565,762.1524765030332,2,1,0.8660254037844386,0.5000000000000001
799.7043479200001,305.107,199.915,7.78414,63.0709,8089502.0,740.2106985616701,792.5629809899992,750.1472047800003,777.4926758238898,770.0783220464767,3,1,1.0,6.123233995736766e-17
777.9708754499998,307.92625918000005,164.706555,7.412786599999999,59.58860200000007,8149192.0,799.7043479200001,740.2106985616701,792.5629809899992,772.62864064389,769.9141553828482,4,2,0.8660254037844387,-0.4999999999999998
787.9898808150001,369.023589496,130.21155000000013,7.5901472000000005,116.16375900000006,8216253.0,777.9708754499998,799.7043479200001,740.2106985616701,788.5550347283333,774.764331419445,5,2,0.49999999999999994,-0.8660254037844387
798.2468045800015,317.992122134,184.6094139999998,7.4199994,84.16397299999981,8278203.0,787.9898808150001,777.9708754499998,799.7043479200001,788.0691869483338,782.7809313861118,6,2,1.2246467991473532e-16,-1.0
813.956607786668,285.7937281540001,152.69405399999997,13.068488,122.57970600000016,8337951.0,798.2468045800015,787.9898808150001,777.9708754499998,800.0644310605566,786.3465358522232,7,3,-0.4999999999999997,-0.8660254037844388
825.56118963,274.025654842,190.06621100000027,17.026244,109.34242199999987,8357933.0,813.956607786668,798.2468045800015,787.9898808150001,812.5882006655565,800.5716176969449,8,3,-0.8660254037844385,-0.5000000000000004
802.4231912412299,261.68056122400003,187.0599799999999,18.248677400000002,107.23868239999999,8410569.0,825.56118963,813.956607786668,798.2468045800015,813.9803295526326,801.0247582504832,9,3,-1.0,-1.8369701987210297e-16
836.1402103700002,309.26170523800005,200.90518400000013,23.4345714,117.63083800000013,8471043.0,802.4231912412299,825.56118963,813.956607786668,821.3748637470767,810.7196474038166,10,4,-0.8660254037844386,0.5000000000000001
806.5587848015643,293.33434537,195.68232799999973,23.0588774,134.89033039999995,8549537.0,836.1402103700002,802.4231912412299,825.56118963,815.0407288042649,813.8144647349105,11,4,-0.5000000000000004,0.8660254037844384
802.3940750433808,339.13,131.45,27.91,167.2,8595499.0,806.5587848015643,836.1402103700002,802.4231912412299,815.0310234049817,814.5056764788072,12,4,-2.4492935982947064e-16,1.0
827.975292047804,320.2973402,156.27578400000007,32.4395616,186.62189937499997,8619584.0,802.3940750433808,806.5587848015643,836.1402103700002,812.3093839642497,816.8421238556633,1,1,0.49999999999999994,0.8660254037844387
760.72600874,244.23371603999996,123.29119599999997,30.124475,186.62189937499997,8680237.0,827.975292047804,802.3940750433808,806.5587848015643,797.0317919437283,806.0362603739965,2,1,0.8660254037844386,0.5000000000000001
832.2084461899994,243.19171273799998,201.76317600000007,35.152832999999994,170.14932,8742789.0,760.72600874,827.975292047804,802.3940750433808,806.9699156592678,811.0004695321248,3,1,1.0,6.123233995736766e-17
